Club,Club Logo
Club Atlético Lanús,https://cdn.sofifa.org/teams/2/light/110395.png
Club Atlético Talleres,https://cdn.sofifa.org/teams/2/light/112670.png
Club Atlético Tigre,https://cdn.sofifa.org/teams/2/light/111715.png
Club Brugge KV,https://cdn.sofifa.org/teams/2/light/231.png
Club Deportes Temuco,https://cdn.sofifa.org/teams/2/light/112709.png
Club León,https://cdn.sofifa.org/teams/2/light/110781.png
Club Necaxa,https://cdn.sofifa.org/teams/2/light/101121.png
Club Tijuana,https://cdn.sofifa.org/teams/2/light/111678.png
Clube Sport Marítimo,https://cdn.sofifa.org/teams/2/light/1893.png
Colchester United,https://cdn.sofifa.org/teams/2/light/1935.png
Colo-Colo,https://cdn.sofifa.org/teams/2/light/110980.png
Colorado Rapids,https://cdn.sofifa.org/teams/2/light/694.png
Columbus Crew SC,https://cdn.sofifa.org/teams/2/light/687.png
Cork City,https://cdn.sofifa.org/teams/2/light/422.png
Cosenza,https://cdn.sofifa.org/teams/2/light/112168.png
Coventry City,https://cdn.sofifa.org/teams/2/light/1800.png
Cracovia,https://cdn.sofifa.org/teams/2/light/110747.png
Crawley Town,https://cdn.sofifa.org/teams/2/light/110890.png
Crewe Alexandra,https://cdn.sofifa.org/teams/2/light/121.png
Crotone,https://cdn.sofifa.org/teams/2/light/110734.png
Cruz Azul,https://cdn.sofifa.org/teams/2/light/1878.png
Cruzeiro,https://cdn.sofifa.org/teams/2/light/568.png
Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png
Curicó Unido,https://cdn.sofifa.org/teams/2/light/112655.png
Cádiz CF,https://cdn.sofifa.org/teams/2/light/1968.png
Córdoba CF,https://cdn.sofifa.org/teams/2/light/1867.png
DC United,https://cdn.sofifa.org/teams/2/light/688.png
DSC Arminia Bielefeld,https://cdn.sofifa.org/teams/2/light/159.png
Daegu FC,https://cdn.sofifa.org/teams/2/light/2056.png
Dalian YiFang FC,https://cdn.sofifa.org/teams/2/light/112378.png
Dalkurd FF,https://cdn.sofifa.org/teams/2/light/113876.png
De Graafschap,https://cdn.sofifa.org/teams/2/light/635.png
Defensa y Justicia,https://cdn.sofifa.org/teams/2/light/111710.png
Deportes Iquique,https://cdn.sofifa.org/teams/2/light/112531.png
Deportes Tolima,https://cdn.sofifa.org/teams/2/light/111722.png
Deportivo Alavés,https://cdn.sofifa.org/teams/2/light/463.png
Deportivo Cali,https://cdn.sofifa.org/teams/2/light/101102.png
Deportivo Pasto,https://cdn.sofifa.org/teams/2/light/111723.png
Deportivo Toluca,https://cdn.sofifa.org/teams/2/light/1882.png
Deportivo de La Coruña,https://cdn.sofifa.org/teams/2/light/242.png
Derby County,https://cdn.sofifa.org/teams/2/light/91.png
Derry City,https://cdn.sofifa.org/teams/2/light/445.png
Dijon FCO,https://cdn.sofifa.org/teams/2/light/110569.png
Dinamo Zagreb,https://cdn.sofifa.org/teams/2/light/211.png
Djurgårdens IF,https://cdn.sofifa.org/teams/2/light/710.png
Doncaster Rovers,https://cdn.sofifa.org/teams/2/light/142.png
Dundalk,https://cdn.sofifa.org/teams/2/light/837.png
Dundee FC,https://cdn.sofifa.org/teams/2/light/180.png
Dynamo Kyiv,https://cdn.sofifa.org/teams/2/light/101047.png
ESTAC Troyes,https://cdn.sofifa.org/teams/2/light/294.png
Eintracht Braunschweig,https://cdn.sofifa.org/teams/2/light/110500.png
Eintracht Frankfurt,https://cdn.sofifa.org/teams/2/light/1824.png
Elche CF,https://cdn.sofifa.org/teams/2/light/468.png
Empoli,https://cdn.sofifa.org/teams/2/light/1746.png
En Avant de Guingamp,https://cdn.sofifa.org/teams/2/light/62.png
Envigado FC,https://cdn.sofifa.org/teams/2/light/112526.png
Esbjerg fB,https://cdn.sofifa.org/teams/2/light/1445.png
Estudiantes de La Plata,https://cdn.sofifa.org/teams/2/light/101083.png
Ettifaq FC,https://cdn.sofifa.org/teams/2/light/112096.png
Everton,https://cdn.sofifa.org/teams/2/light/7.png
Excelsior,https://cdn.sofifa.org/teams/2/light/1971.png
Exeter City,https://cdn.sofifa.org/teams/2/light/143.png
Extremadura UD,https://cdn.sofifa.org/teams/2/light/469.png
FC Admira Wacker Mödling,https://cdn.sofifa.org/teams/2/light/111821.png
FC Augsburg,https://cdn.sofifa.org/teams/2/light/100409.png
FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png
FC Basel 1893,https://cdn.sofifa.org/teams/2/light/896.png
FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png
FC Carl Zeiss Jena,https://cdn.sofifa.org/teams/2/light/110591.png
FC Dallas,https://cdn.sofifa.org/teams/2/light/695.png
FC Emmen,https://cdn.sofifa.org/teams/2/light/100628.png
FC Energie Cottbus,https://cdn.sofifa.org/teams/2/light/162.png
FC Erzgebirge Aue,https://cdn.sofifa.org/teams/2/light/506.png
FC Girondins de Bordeaux,https://cdn.sofifa.org/teams/2/light/59.png
FC Groningen,https://cdn.sofifa.org/teams/2/light/1915.png
FC Hansa Rostock,https://cdn.sofifa.org/teams/2/light/27.png
FC Ingolstadt 04,https://cdn.sofifa.org/teams/2/light/111239.png
FC København,https://cdn.sofifa.org/teams/2/light/819.png
FC Lorient,https://cdn.sofifa.org/teams/2/light/217.png
FC Lugano,https://cdn.sofifa.org/teams/2/light/10032.png
FC Luzern,https://cdn.sofifa.org/teams/2/light/897.png
FC Metz,https://cdn.sofifa.org/teams/2/light/68.png
FC Midtjylland,https://cdn.sofifa.org/teams/2/light/1516.png
FC Nantes,https://cdn.sofifa.org/teams/2/light/71.png
FC Nordsjælland,https://cdn.sofifa.org/teams/2/light/1788.png
FC Porto,https://cdn.sofifa.org/teams/2/light/236.png
FC Red Bull Salzburg,https://cdn.sofifa.org/teams/2/light/191.png
FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png
FC Seoul,https://cdn.sofifa.org/teams/2/light/982.png
FC Sion,https://cdn.sofifa.org/teams/2/light/110770.png
FC Sochaux-Montbéliard,https://cdn.sofifa.org/teams/2/light/226.png
FC St. Gallen,https://cdn.sofifa.org/teams/2/light/898.png
FC St. Pauli,https://cdn.sofifa.org/teams/2/light/110329.png
FC Thun,https://cdn.sofifa.org/teams/2/light/1715.png
FC Tokyo,https://cdn.sofifa.org/teams/2/light/101150.png
FC Utrecht,https://cdn.sofifa.org/teams/2/light/1903.png
FC Wacker Innsbruck,https://cdn.sofifa.org/teams/2/light/2045.png
FC Würzburger Kickers,https://cdn.sofifa.org/teams/2/light/110197.png
