name,vote_count,vote_average
Adventure Time,254,7.6
The Daily Show with Trevor Noah,264,6.4
The Harald Schmidt Show,1,1.5
Manhunt,127,7.7
AJ and the Queen,6,7.9
Survivor,155,6.5
The Good Place,361,8.0
Live with Regis and Kathie Lee,7,5.2
It's Always Sunny in Philadelphia,452,8.2
Batwoman,231,6.6
Seinfeld,754,8.3
Kamen Rider,31,5.8
Black Mirror,1566,8.2
Naruto,290,7.7
Midsomer Murders,113,7.6
Dexter,1542,8.0
2 Broke Girls,510,6.1
Stargate SG-1,600,8.1
Blue Bloods,281,7.2
Monk,336,7.7
CSI: Miami,271,6.5
Der Alte,2,5.8
Interns,46,5.8
Haikyuu!!: Riku vs Kuu,1,10.0
Battlestar Galactica,698,8.2
Frasier,302,7.6
Peaky Blinders,666,8.3
Saturday Night Live,204,6.8
TharnType: The Series,6,9.3
Alarm for Cobra 11: The Motorway Police,38,6.0
Shameless,981,7.9
Fear the Walking Dead,1134,6.3
Desperate Housewives,301,7.0
The Expanse,830,7.7
Suits,1020,7.5
Sons of Anarchy,686,7.9
Twin Peaks,863,8.2
The Big Bang Theory,3969,6.9
One-Punch Man,541,8.0
Keeping Up with the Kardashians,165,4.6
The Sopranos,892,8.3
Star Trek: Discovery,665,6.9
Polizeiruf 110,11,6.4
Plunderer,6,7.2
Sesame Street,102,7.4
New Girl,472,6.8
Elementary,722,7.1
Paw Patrol,53,6.0
Mayday,98,7.8
Conan,102,7.2
Star Trek: Deep Space Nine,326,7.8
Californication,492,7.5
Sherlock,2047,8.3
Star Trek,554,8.0
"Beverly Hills, 90210",149,6.2
Murdoch Mysteries,91,7.3
High School DxD,94,7.3
Young Sheldon,270,7.2
Chernobyl,801,8.7
Mr. Robot,1697,8.0
The Boys,362,8.1
Full House,236,6.5
Tokyo Ghoul,197,7.3
The Office,744,8.2
Teen Wolf,540,7.5
True Detective,1312,8.3
Station 19,94,8.4
Person of Interest,679,7.9
Messiah,45,7.7
Baywatch,176,5.4
Parks and Recreation,509,8.0
Orange Is the New Black,895,7.5
Ray Donovan,422,7.5
Case Closed,158,6.4
Young Hearts,3,2.2
Titans,431,7.7
Peppa Pig,28,6.5
Buffy the Vampire Slayer,615,8.2
Chicago Med,208,7.8
Scorpion,413,7.1
Marvel's Jessica Jones,997,7.6
Psych,299,7.7
Glee,287,6.3
The Wire,921,8.3
MacGyver,234,6.1
Designated Survivor,397,7.2
Charmed,387,7.3
Money Heist,631,8.2
True Blood,661,7.3
My Wife and Kids,126,7.1
That '70s Show,477,7.6
S.W.A.T.,196,7.5
The X-Files,1073,8.1
Gravity Falls,357,8.3
Better Call Saul,1255,8.1
Death in Paradise,87,7.5
Community,555,7.9
Top Gear,356,7.4
SOKO Köln,2,9.5
Erkenci Kuş,6,7.0
Narcos,912,8.0
Doraemon,0,0.0
Medici: Masters of Florence,62,7.7
Grimm,710,7.2
